UNIDAD;COMUNIDAD AUTONOMA;PROVINCIA;LOCALIDAD;DOMICILIO;CODIGO POSTAL;TELEFONO;OBSERVACIONES;
 PUESTO DE ALBADALEJO;CASTILLA LA MANCHA;CIUDAD REAL;ALBALADEJO;CALLE PAZ, 2;13340;926387099;;
 PUESTO DE ALCAZAR DE SAN JUAN;CASTILLA LA MANCHA;CIUDAD REAL;ALCAZAR DE SAN JUAN; C/ JUAN BAUTISTA CONCEPCION, 1;13600;926552693;;
 PUESTO DE ALCOBA MONTES;CASTILLA LA MANCHA;CIUDAD REAL;ALCOBA DE LOS MONTES;CTRA. ALCOBA, 21;13116;926770002;;
 PUESTO DE ALCOLEA DE CALATRAVA;CASTILLA LA MANCHA;CIUDAD REAL;ALCOLEA DE CALATRAVA; C/ CERVANTES ,  165;13107;926772002;;
 PUESTO DE ALDEA DEL REY;CASTILLA LA MANCHA;CIUDAD REAL;ALDEA DEL REY; C/ ROLLO, 21;13380;926865009;;
 PUESTO DE ALHAMBRA;CASTILLA LA MANCHA;CIUDAD REAL;ALHAMBRA; C/ CALVARIO, 24;13248;926356788;;
 PUESTO DE ALMADEN;CASTILLA LA MANCHA;CIUDAD REAL;ALMADEN; GLORIETA DEL CRISTO S/N;13400;926711217;;
 PUESTO DE ALMAGRO;CASTILLA LA MANCHA;CIUDAD REAL;ALMAGRO; C/ BOLA�OS, 15;13270;926882930;;
 PUESTO DE ALMODOVAR DEL CAMPO;CASTILLA LA MANCHA;CIUDAD REAL;ALMODOVAR DEL CAMPO; PZA. DE ARGENTINA, 9;13580;926442264;;
 PUESTO DE ALMURADIEL;CASTILLA LA MANCHA;CIUDAD REAL;ALMURADIEL; PZA. GUARDIA CIVIL, 2;13760;926339062;;
 PUESTO DE ARGAMASILLA DE ALBA;CASTILLA LA MANCHA;CIUDAD REAL;ARGAMASILLA DE ALBA; C/ CAPITAN SANCHEZ ALCANTARA, 12;13710;926523146;;
 PUESTO DE ARGAMASILLA DE CALATRAVA;CASTILLA LA MANCHA;CIUDAD REAL;ARGAMASILLA DE CALATRAVA; CALLE PINTO, 14;13440;926477007;;
 PUESTO DE BALLESTEROS;CASTILLA LA MANCHA;CIUDAD REAL;BALLESTEROS DE CALATRAVA; C/ ARROYO, 15;13432;926842007;;
 PUESTO DE BOLA�OS;CASTILLA LA MANCHA;CIUDAD REAL;BOLA�OS DE CALATRAVA; C/ ALMAGRO, 37;13260;926870010;;
 PUESTO DE CALZADA DE CALATRAVA;CASTILLA LA MANCHA;CIUDAD REAL;CALZADA DE CALATRAVA; PARQUE REINA SOFIA, 1;13370;926875002;;
 PUESTO DE CAMPO CRIPTANA;CASTILLA LA MANCHA;CIUDAD REAL;CAMPO DE CRIPTANA; AVDA. DE LA HISPANIDAD, 31;13610;926564200;;
 PUESTO DE CASTELLAR DE SANTIAGO;CASTILLA LA MANCHA;CIUDAD REAL;CASTELLAR DE SANTIAGO; C/ BAILEN, 4;13750;926334138;;
 PUESTO DE CORRAL DE CALATRAVA;CASTILLA LA MANCHA;CIUDAD REAL;CORRAL DE CALATRAVA;CALLE ANCHA, 10;13190;926831042;;
 PUESTO DE DAIMIEL;CASTILLA LA MANCHA;CIUDAD REAL;DAIMIEL; C/ ESTACION, 65;13250;926854612;;
 PUESTO DE FUENCALIENTE;CASTILLA LA MANCHA;CIUDAD REAL;FUENCALIENTE; C/ PATIN, 99;13130;926470006;;
 PUESTO DE FUENTE EL FRESNO;CASTILLA LA MANCHA;CIUDAD REAL;FUENTE EL FRESNO;C/ ANTONIO DE LA FUENTE, 17;13680;926804376;;
 PUESTO DE HERENCIA;CASTILLA LA MANCHA;CIUDAD REAL;HERENCIA; AVDA. DE ALCAZAR, 47;13640;926573707;;
 PUESTO DE HINOJOSA DE CALATRAVA;CASTILLA LA MANCHA;CIUDAD REAL;HINOJOSAS DE CALATRAVA; AVDA. PILAR, 8;13590;926476006;;
 PUESTO DE HORCAJO;CASTILLA LA MANCHA;CIUDAD REAL;HORCAJO DE LOS MONTES; CTRA.  RETUERTA,  S/N;13110;926775013;;
 PUESTO DE LA SOLANA;CASTILLA LA MANCHA;CIUDAD REAL;LA SOLANA; AVDA. LOPEZ POSADAS, S/N;13240;926631031;;
 PUESTO DE LOS CORTIJOS;CASTILLA LA MANCHA;CIUDAD REAL;LOS CORTIJOS;C/ CLAUDIO COELLO, 1;13427;926808053;;
 PUESTO DE MALAGON;CASTILLA LA MANCHA;CIUDAD REAL;MALAGON; C/ ALMAGRO, 18;13420;926802305;;
 PUESTO DE MIGUELTURRA;CASTILLA LA MANCHA;CIUDAD REAL;MIGUELTURRA; REAL, 69;13170;926241520;;
 PUESTO DE MORAL CALATRAVA;CASTILLA LA MANCHA;CIUDAD REAL;MORAL DE CALATRAVA; C/ MERCEDES, 57;13350;926319769;;
 PUESTO DE PEDRO MU�OZ;CASTILLA LA MANCHA;CIUDAD REAL;PEDRO MU�OZ; AVDA. CONSTITUCION, 55;13620;926568126;;
 PUESTO DE PIEDRABUENA;CASTILLA LA MANCHA;CIUDAD REAL;PIEDRABUENA; CTRA. TOLEDO, 2;13100;926760035;;
 PUESTO DE PORZUNA;CASTILLA LA MANCHA;CIUDAD REAL;PORZUNA; CTRA. FERNANCABALLERO, 13;13120;926780008;;
 PUESTO DE POZUELO CALATRAVA;CASTILLA LA MANCHA;CIUDAD REAL;POZUELO DE CALATRAVA;PLAZA DE LA CONSTITUCI�N, 6;13179;926840013;;
 PUESTO DE PUEBLA DE DON RODRIGO;CASTILLA LA MANCHA;CIUDAD REAL;PUEBLA DE DON RODRIGO;AVENIDA CASTILLA LA MANCHA S/N;13109;926777008;;
 PUESTO DE PUERTO LAPICE;CASTILLA LA MANCHA;CIUDAD REAL;PUERTO LAPICE; C/ CALATRAVA, 55;13650;926583066;;
 PUESTO DE PUERTOLLANO;CASTILLA LA MANCHA;CIUDAD REAL;PUERTOLLANO; C/ CERVANTES, 67;13500;926441753;;
 PUESTO DE RETUERTA;CASTILLA LA MANCHA;CIUDAD REAL;RETUERTA; C/ ERAS, 5;13194;925421639;;
 PUESTO DE RUIDERA;CASTILLA LA MANCHA;CIUDAD REAL;RUIDERA; CUARTEL GUARDIA CIVIL;13249;926528171;;
 PUESTO DE SANTA CRUZ DE MUDELA;CASTILLA LA MANCHA;CIUDAD REAL;SANTA CRUZ DE MUDELA; C/ CRISTO, 3;13730;926349053;;
 PUESTO DE SOCUELLAMOS;CASTILLA LA MANCHA;CIUDAD REAL;SOCUELLAMOS;C/ SAN MART�N DE MENDOZA, 1;13630;926530059;;
 PUESTO DE TORRALBA CALATRAVA;CASTILLA LA MANCHA;CIUDAD REAL;TORRALBA DE CALATRAVA; C/ PROGRESO, 50;13160;926810021;;
 PUESTO DE TORRE DE JUAN ABAD;CASTILLA LA MANCHA;CIUDAD REAL;TORRE DE JUAN ABAD; AVDA. CONSTITUCION, 144;13344;926383014;;
 PUESTO DE TORRENUEVA;CASTILLA LA MANCHA;CIUDAD REAL;TORRENUEVA; CTRA. DE VALDEPE�AS S/N;13740;926341004;;
 PUESTO DE VALDEPE�AS;CASTILLA LA MANCHA;CIUDAD REAL;VALDEPE�AS; C/ GUARDIA CIVIL, 7;13300;926347813;;
 PUESTO DE VILLAHERMOSA;CASTILLA LA MANCHA;CIUDAD REAL;VILLAHERMOSA; C/ FERIA, 55;13332;926366153;;
 PUESTO DE VILLAMAYOR;CASTILLA LA MANCHA;CIUDAD REAL;VILLAMAYOR DE CALATRAVA; CTRA. ALMODOVAR S/N;13595;926466102;;
 PUESTO DE VILLANUEVA DE LOS INFANTES;CASTILLA LA MANCHA;CIUDAD REAL;VILLANUEVA DE LOS INFANTES; PZA. SAN SEBASTIAN, 9;13320;926360029;;
 PUESTO DE VILLANUEVA DE SAN CARLOS;CASTILLA LA MANCHA;CIUDAD REAL;VILLANUEVA DE SAN CARLOS; CTRA. CALZADA S/N;13379;926879005;;
 PUESTO DE VILLANUEVA FUENTE;CASTILLA LA MANCHA;CIUDAD REAL;VILLANUEVA DE LA FUENTE; AVDA. VILLANUEVA INFANTES, 70;13330;967396001;;
 PUESTO DE VILLARRUBIA DE LOS OJOS;CASTILLA LA MANCHA;CIUDAD REAL;VILLARRUBIA DE LOS OJOS; AVDA. CRISTO REY, 71;13670;926896012;;
 PUESTO DE VILLARTA SAN JUAN;CASTILLA LA MANCHA;CIUDAD REAL;VILLARTA DE SAN JUAN; C/ CERVANTES, 135;13210;926641072;;
 PUESTO DE VISO MARQUES;CASTILLA LA MANCHA;CIUDAD REAL;VISO DEL MARQUES; CTRA. ALMURADIEL S/N;13770;926337045;;
 PUESTO P. DE MANZANARES;CASTILLA LA MANCHA;CIUDAD REAL;MANZANARES; CTRA. DE LA SOLANA, 58;13200;926610396;;
 PUESTO P. DE TOMELLOSO;CASTILLA LA MANCHA;CIUDAD REAL;TOMELLOSO;C/ ELADIO CABA�ERO 2;13700;926501820;;
 C.O.S.;CASTILLA LA MANCHA;ALBACETE;ALBACETE; AVDA. DE RAM?N Y CAJAL, 33;2005;967193234;;
 CMDA. ALBACETE;CASTILLA LA MANCHA;ALBACETE;ALBACETE; AVDA. DE RAM?N Y CAJAL, 33;2005;967218600;;
 COMPA�IA DE ALBACETE;CASTILLA LA MANCHA;ALBACETE;ALBACETE; AVDA. DE RAM?N Y CAJAL, 33;2005;967218600;;
 COMPA�IA DE ALMANSA;CASTILLA LA MANCHA;ALBACETE;ALMANSA; C/ CORREDERA, 130;2640;967318884;;
 COMPA�IA DE HELLIN;CASTILLA LA MANCHA;ALBACETE;HELLIN; PL. GUARDIA CIVIL, 1;2400;967543227;;
 COMPA�IA DE LA RODA;CASTILLA LA MANCHA;ALBACETE;RODA (LA); C/ MEDIODIA, 12;2630;967441305;;
 PUESTO DE AGUAS NUEVAS;CASTILLA LA MANCHA;ALBACETE;AGUAS NUEVAS; AVDA. GUARDIA CIVIL, 1;2049;967273132;;
 PUESTO DE ALATOZ;CASTILLA LA MANCHA;ALBACETE;ALATOZ; C/ EXTRAMUROS S/N;2152;967402002;;
 PUESTO DE ALBACETE;CASTILLA LA MANCHA;ALBACETE;ALBACETE; AVDA. DE RAM?N Y CAJAL, 33;2005;967218661;;
 PUESTO DE ALCALA DE JUCAR;CASTILLA LA MANCHA;ALBACETE;ALCALA DE JUCAR; C/ CALLEJON DE LA VIRGEN S/N;2210;967473017;;
 PUESTO DE ALCARAZ;CASTILLA LA MANCHA;ALBACETE;ALCARAZ; C/ EXTRAMUROS, 7;2300;967380012;;
 PUESTO DE ALPERA;CASTILLA LA MANCHA;ALBACETE;ALPERA; AVDA. RAMON Y CAJAL, 28;2690;967330011;;
 PUESTO DE AYNA;CASTILLA LA MANCHA;ALBACETE;AYNA; AVDA. DE LA GUARDIA CIVIL, 52;2125;967295002;;
 PUESTO DE BALAZOTE;CASTILLA LA MANCHA;ALBACETE;BALAZOTE;CAMINO DE LA ERMITA, 10;2320;967360002;;
 PUESTO DE BOGARRA;CASTILLA LA MANCHA;ALBACETE;BOGARRA;C/ TEJERA, 23;2130;967290002;;
 PUESTO DE BONETE;CASTILLA LA MANCHA;ALBACETE;BONETE;AVENIDA LA LIBERTAD 99;2691;967334002;;
 PUESTO DE CASAS DE VES;CASTILLA LA MANCHA;ALBACETE;CASAS DE VES; C/ CLAUDIO SOLANO, 1;2212;967475002;;
 PUESTO DE CASAS IBA�EZ;CASTILLA LA MANCHA;ALBACETE;CASAS-IBA�EZ; CTRA. DE VALENCIA, 5;2200;967460007;;
 PUESTO DE CAUDETE;CASTILLA LA MANCHA;ALBACETE;CAUDETE; AVDA. DE VILLENA, 1;2660;965827004;;
 PUESTO DE CHINCHILLA;CASTILLA LA MANCHA;ALBACETE;CHINCHILLA DE MONTE-ARAGON; C/ ARENAL, 92;2520;967260026;;
 PUESTO DE EL BONILLO;CASTILLA LA MANCHA;ALBACETE;EL BONILLO; C/ MAGDALENA, 37;6610;967370002;;
 PUESTO DE EL POZUELO;CASTILLA LA MANCHA;ALBACETE;POZUELO; C/ MAYOR, 23;2327;967363715;;
 PUESTO DE ROBLEDO;CASTILLA LA MANCHA;ALBACETE;ROBLEDO; C/ CORREOS,1;2340;967388203;;
 PUESTO DE ELCHE DE LA SIERRA;CASTILLA LA MANCHA;ALBACETE;ELCHE DE LA SIERRA; C/ BOLEA, 47;2430;967410002;;
 PUESTO DE FABRICAS DE RIOPAR;CASTILLA LA MANCHA;ALBACETE;RIOPAR; C/ LA CULTURA, 5;2450;967435002;;
 PUESTO DE FUENTE-ALAMO;CASTILLA LA MANCHA;ALBACETE;FUENTE-ALAMO; CTRA. DE YECLA, 21;2651;967321002;;
 PUESTO DE FUENTEALBILLA;CASTILLA LA MANCHA;ALBACETE;FUENTEALBILLA; CTRA. DE ALBACETE, 37;2260;967472030;;
 PUESTO DE HELLIN;CASTILLA LA MANCHA;ALBACETE;HELLIN; PL. GUARDIA CIVIL, 1;2400;967543343;;
 PUESTO DE HIGUERUELA;CASTILLA LA MANCHA;ALBACETE;HIGUERUELA; AVDA. DE LA CONSTITUCION, 12;2694;967287006;;
 PUESTO DE JORQUERA;CASTILLA LA MANCHA;ALBACETE;JORQUERA; C/ MAYOR, 19;2248;967471242;;
 PUESTO DE LA GINETA;CASTILLA LA MANCHA;ALBACETE;LA GINETA;C/ FUENSANTA, 4;2110;967275006;;
 PUESTO DE LA RODA;CASTILLA LA MANCHA;ALBACETE;LA RODA; C/ MEDIODIA, 12;2630;967441305;;
 PUESTO DE LETUR;CASTILLA LA MANCHA;ALBACETE;LETUR;CALLE CUARTEL 5;2434;967426024;;
 PUESTO DE LEZUZA;CASTILLA LA MANCHA;ALBACETE;LEZUZA; PSO. DE LA LIBERTAD, 54;2160;967354002;;
 PUESTO DE LIETOR;CASTILLA LA MANCHA;ALBACETE;LIETOR; C/ CALVARIO, 16;2410;967200002;;
 PUESTO DE MADRIGUERAS;CASTILLA LA MANCHA;ALBACETE;MADRIGUERAS; AVDA. BENJAMIN PALENCIA, 18;2230;967484302;;
 PUESTO DE MOLINICOS;CASTILLA LA MANCHA;ALBACETE;MOLINICOS; AVDA. DE LA GUARDIA CIVIL, 1;2440;967437002;;
 PUESTO DE MONTEALEGRE DEL CASTILLO;CASTILLA LA MANCHA;ALBACETE;MONTEALEGRE DEL CASTILLO; C/ CAPATAZ SANTIAGO, 9;2650;967336010;;
 PUESTO DE MUNERA;CASTILLA LA MANCHA;ALBACETE;MUNERA; C/ REAL, 4;2612;967372002;;
 PUESTO DE NERPIO;CASTILLA LA MANCHA;ALBACETE;NERPIO; C/ ARRABAL,13;2530;967438009;;
 PUESTO DE ONTUR;CASTILLA LA MANCHA;ALBACETE;ONTUR; C/ SALVADOR, 1;2652;967323002;;
 PUESTO DE OSSA DE MONTIEL;CASTILLA LA MANCHA;ALBACETE;OSSA DE MONTIEL; C/ ANTONIO MACHADO, 1;2611;967377001;;
 PUESTO DE PE�AS DE SAN PEDRO;CASTILLA LA MANCHA;ALBACETE;PE�AS DE SAN PEDRO; AVDA. DE LA GUARDIA CIVIL, 7;2120;967298002;;
 PUESTO DE PETROLA;CASTILLA LA MANCHA;ALBACETE;PETROLA; C/ EXTRAMUROS, S/N;2692;967286111;;
 PUESTO DE POZO CA�ADA;CASTILLA LA MANCHA;ALBACETE;POZO CA�ADA; AVDA. DE LA CONCORDIA 34;2510;967250005;;
 PUESTO DE POZOHONDO;CASTILLA LA MANCHA;ALBACETE;POZOHONDO; AVDA. DE LA MANCHA, 38;2141;967205002;;
 PUESTO DE TARAZONA DE LA MANCHA;CASTILLA LA MANCHA;ALBACETE;TARAZONA DE LA MANCHA; AVDA. DE ALBACETE, 2;2100;967480027;;
 PUESTO DE TOBARRA;CASTILLA LA MANCHA;ALBACETE;TOBARRA; AVDA. DE LA GUARDIA CIVIL, 221-B;2500;967325232;;
 PUESTO DE VALDEGANGA;CASTILLA LA MANCHA;ALBACETE;VALDEGANGA; C/ NUEVA, 45;2150;967400002;;
 PUESTO DE VILLAMALEA;CASTILLA LA MANCHA;ALBACETE;VILLAMALEA; C/ MAGISTRADO VARELA, 31;2270;967483002;;
 PUESTO DE VILLAPALACIOS;CASTILLA LA MANCHA;ALBACETE;VILLAPALACIOS; AVDA. DE LA CONSTITUCION, 25;2350;967398001;;
 PUESTO DE VILLAVERDE DE GUADALIMAR;CASTILLA LA MANCHA;ALBACETE;VILLAVERDE DE GUADALIMAR; AVDA. DE LA GUARDIA CIVIL, 25;2460;967434002;;
 PUESTO DE VIVEROS;CASTILLA LA MANCHA;ALBACETE;VIVEROS; C/ VIRGEN DE LAS AGUAS, 17;2310;967387002;;
 PUESTO DE YESTE;CASTILLA LA MANCHA;ALBACETE;YESTE; C/ FUENTE SOMERA, 4;2480;967431015;;
 PUESTO P. DE ALMANSA;CASTILLA LA MANCHA;ALBACETE;ALMANSA; C/ CORREDERA, 130;2640;967340096;;
 PUESTO P. DE VILLARROBLEDO;CASTILLA LA MANCHA;ALBACETE;VILLARROBLEDO; AVDA. REYES CATOLICOS, 78;2600;967138027;;
 C.O.S.;CASTILLA LA MANCHA;GUADALAJARA;GUADALAJARA; AVDA. DE CASTILLA, 9;19002;949247973;;
 CMDA. GUADALAJARA;CASTILLA LA MANCHA;GUADALAJARA;GUADALAJARA; AVDA. DE CASTILLA, 9;19002;949247980;;
 COMPA�IA DE GUADALAJARA;CASTILLA LA MANCHA;GUADALAJARA;GUADALAJARA; AVDA. DE CASTILLA, 9;19002;949247980;;
 COMPA�IA DE MOLINA DE ARAGON;CASTILLA LA MANCHA;GUADALAJARA;MOLINA DE ARAGON;C/ QUI�ONES, 1;19300;949830157;;
 COMPA�IA DE SIG�ENZA;CASTILLA LA MANCHA;GUADALAJARA;SIG�ENZA; C/ SANTA BARBARA, 5;19250;949347292;;
 PUESTO AUXILIAR DE ALUSTANTE;CASTILLA LA MANCHA;GUADALAJARA;ALUSTANTE; CTRA. GU- 954;19320;978714106;;
 PUESTO AUXILIAR DE MILMARCOS;CASTILLA LA MANCHA;GUADALAJARA;MILMARCOS; C/ VALENCIA, S/N;19287;949840361;;
 PUESTO AUXILIAR DE OREA;CASTILLA LA MANCHA;GUADALAJARA;OREA; CRUCE GU- 961 Y GU- 962;19311;949836004;;
 PUESTO DE ALMONACID DE ZORITA;CASTILLA LA MANCHA;GUADALAJARA;ALMONACID DE ZORITA; C/ GOBERNADOR, 25;19118;949376209;;
 PUESTO DE ATIENZA;CASTILLA LA MANCHA;GUADALAJARA;ATIENZA;C/ BERLANGA, 18;19270;949399039;;
 PUESTO DE BRIHUEGA;CASTILLA LA MANCHA;GUADALAJARA;BRIHUEGA;PASEO DE MAR�A CRISTINA, 9;19400;949340011;;
 PUESTO DE BUDIA;CASTILLA LA MANCHA;GUADALAJARA;BUDIA; C/ ERAS DEL ROMERO, 3;19133;949283420;;
 PUESTO DE CHECA;CASTILLA LA MANCHA;GUADALAJARA;CHECA; AVDA. DEL PINAR, 2;19310;949836109;;
 PUESTO DE CIFUENTES;CASTILLA LA MANCHA;GUADALAJARA;CIFUENTES; C/ SOLEDAD, 5;19420;949810104;;
 PUESTO DE COGOLLUDO;CASTILLA LA MANCHA;GUADALAJARA;COGOLLUDO; CTRA. ESPINOSA, S/n;19230;949855003;;
 PUESTO DE EL CASAR;CASTILLA LA MANCHA;GUADALAJARA;EL CASAR;C/ MANUEL L�PEZ, 1;19170;949334020;;
 PUESTO DE GUADALAJARA;CASTILLA LA MANCHA;GUADALAJARA;GUADALAJARA; AVDA. DE CASTILLA, 9;19002;949247980;;
 PUESTO DE HITA;CASTILLA LA MANCHA;GUADALAJARA;HITA;C/ CTRA. SORIA S/N;19248;949852519;;
 PUESTO DE HORCHE;CASTILLA LA MANCHA;GUADALAJARA;HORCHE; C/ SAN ROQUE, 44;19140;949290009;;
 PUESTO DE HUMANES;CASTILLA LA MANCHA;GUADALAJARA;HUMANES;CALLE E, 5;19220;949850024;;
 PUESTO DE JADRAQUE;CASTILLA LA MANCHA;GUADALAJARA;JADRAQUE;C/ ZAMARRAMALA, 1;19240;949890041;;
 PUESTO DE MARANCHON;CASTILLA LA MANCHA;GUADALAJARA;MARANCHON; C/ BENIGNO BUENO S/N;19280;949839740;;
 PUESTO DE MOLINA DE ARAGON;CASTILLA LA MANCHA;GUADALAJARA;MOLINA DE ARAGON; C/ BENIGNO BUENO 27;19300;949830157;;
 PUESTO DE MONDEJAR;CASTILLA LA MANCHA;GUADALAJARA;MONDEJAR; AVDA. CONSTITUCION, 11;19110;949385034;;
 PUESTO DE PAREJA;CASTILLA LA MANCHA;GUADALAJARA;PAREJA; PZA. MARIA CRISTINA, S/N;19129;949354021;;
 PUESTO DE PASTRANA;CASTILLA LA MANCHA;GUADALAJARA;PASTRANA; PZA.DEL DEAN, 3;19100;949370271;;
 PUESTO DE SACEDON;CASTILLA LA MANCHA;GUADALAJARA;SACEDON; CTRA. N-320, KM. 221,600;19120;949350017;;
 PUESTO DE SIGUENZA;CASTILLA LA MANCHA;GUADALAJARA;SIGUENZA; C/ SANTA BARBARA, 5;19250;949347292;;
 PUESTO DE TENDILLA;CASTILLA LA MANCHA;GUADALAJARA;TENDILLA; PSO. SACEDON, 45;19134;949298028;;
 PUESTO DE TORIJA;CASTILLA LA MANCHA;GUADALAJARA;TORIJA;C/ CAMILO JOS� CELA, 9;19190;949320089;;
 PUESTO DE TORREMOCHA DEL CAMPO;CASTILLA LA MANCHA;GUADALAJARA;TORREMOCHA DEL CAMPO; C/ JUAN MANUEL ALAVEDRA, S/N;19268;949396038;;
 PUESTO DE TRILLO;CASTILLA LA MANCHA;GUADALAJARA;TRILLO; C/ ARZOBISPO, 16;19450;949815054;;
 PUESTO DE UCEDA;CASTILLA LA MANCHA;GUADALAJARA;UCEDA; CAMINO DE LA FUENTE, S/N;19187;949856263;;
 PUESTO DE YUNQUERA DE HENARES;CASTILLA LA MANCHA;GUADALAJARA;YUNQUERA DE HENARES; C/ MALAGA DEL FRESNO, 28;19208;949330017;;
 PUESTO DE ZAOREJAS;CASTILLA LA MANCHA;GUADALAJARA;ZAOREJAS;CTRA. HUETE/TORTUERA, KM. 11,800;19495;949816105;;
 PUESTO P. DE AZUQUECA DE HENARES;CASTILLA LA MANCHA;GUADALAJARA;AZUQUECA DE HENARES;AVDA.  DE MECO, 27;19200;949260946;;
 C.O.S.;CASTILLA LA MANCHA;CUENCA;CUENCA; C/ GUARDIA CIVL, 15;16003;969221100;;
 CMDA. CUENCA;CASTILLA LA MANCHA;CUENCA;CUENCA; C/ GUARDIA CIVL, 15;16003;969220500;;
 COMPA�IA DE CUENCA;CASTILLA LA MANCHA;CUENCA;CUENCA; C/ GUARDIA CIVL, 15;16003;969221100;;
 COMPA�IA DE MOTILLA DEL PALANCAR;CASTILLA LA MANCHA;CUENCA;MOTILLA DEL PALANCAR; C/ MADRID, 15;16200;969331110;;
 COMPA�IA DE TARANCON;CASTILLA LA MANCHA;CUENCA;TARANCON; AVDA. REY JUAN CARLOS I, 65;16400;969320900;;
 PUESTO DE ALMODOVAR DEL PINAR;CASTILLA LA MANCHA;CUENCA;ALMODOVAR DEL PINAR; C/ SAN MIGUEL, 20;16130;969336003;;
 PUESTO DE ARCAS;CASTILLA LA MANCHA;CUENCA;ARCAS; PZA. DE LA PAZ, 1;16123;969253002;;
 PUESTO DE BARAJAS DE MELO;CASTILLA LA MANCHA;CUENCA;BARAJAS DE MELO; CAMINO DE LAS CRUCES S/N;16460;969121019;;
 PUESTO DE BELMONTE;CASTILLA LA MANCHA;CUENCA;BELMONTE; C/ PORVENIR, 5;16640;967187565;;
 PUESTO DE BETETA;CASTILLA LA MANCHA;CUENCA;BETETA; C/ ISABEL LA CATOLICA, 50;16870;969318008;;
 PUESTO DE BUENDIA;CASTILLA LA MANCHA;CUENCA;BUENDIA; PLZA. ALTOZANO, 8;16512;969373003;;
 PUESTO DE CAMPILLO DE ALTOBUEY;CASTILLA LA MANCHA;CUENCA;CAMPILLO DE ALTOBUEY; C/ SAN ROQUE, 17;16210;969338210;;
 PUESTO DE CA�AVERAS;CASTILLA LA MANCHA;CUENCA;PRIEGO; AVDA. LUIS OCA�A,  N� 30;16850;969312122;Las dependencias de Ca�averas, actualmente en Acuartelamiento de Priego;
 PUESTO DE CA�ETE;CASTILLA LA MANCHA;CUENCA;CA�ETE;PLAZA EL SANTO N� 4;16300;969346002;;
 PUESTO DE CARBONERAS DE GUADAZAON;CASTILLA LA MANCHA;CUENCA;CARBONERAS DE GUADAZAON; C/ DON CRUZ, 51;16350;969341010;;
 PUESTO DE CARDENETE;CASTILLA LA MANCHA;CUENCA;CARDENETE;C/ GENERAL JUAN RAM�N HERRAI,6;16373;969348021;;
 PUESTO DE CARRASCOSA DEL CAMPO;CASTILLA LA MANCHA;CUENCA;CARRASCOSA DEL CAMPO; AVDA. JOSE ANTONIO, 15;16555;969124001;;
 PUESTO DE CASAS DE BENITEZ;CASTILLA LA MANCHA;CUENCA;CASAS DE BENITEZ; C/ VIRGEN DEL PILAR, 32;16707;969382023;;
 PUESTO DE CUENCA;CASTILLA LA MANCHA;CUENCA;CUENCA; C/ GUARDIA CIVL, 15;16003;969220500;;
 PUESTO DE EL PROVENCIO;CASTILLA LA MANCHA;CUENCA;EL PROVENCIO; AVDA. DE LA CONSTITUCION,N� 8;16670;967166067;;
 PUESTO DE HONRUBIA;CASTILLA LA MANCHA;CUENCA;HONRUBIA; B. S. ROQUE-C/JUAN AAGEL SEVILLA, 3;16730;969292020;;
 PUESTO DE HORCAJO DE SANTIAGO;CASTILLA LA MANCHA;CUENCA;HORCAJO DE SANTIAGO; C/ PAVIA, 1;16410;969127001;;
 PUESTO DE HUETE;CASTILLA LA MANCHA;CUENCA;HUETE; AVDA. CUENCA, 10;16500;969372216;;
 PUESTO DE INIESTA;CASTILLA LA MANCHA;CUENCA;INIESTA; C/ SAN CRISTOBAL S/N;16235;967490003;;
 PUESTO DE LA ALMARCHA;CASTILLA LA MANCHA;CUENCA;LA ALMARCHA;C/ CAMINO DE HONRUBIA, 4;16740;969291002;;
 PUESTO DE LA VENTOSA;CASTILLA LA MANCHA;CUENCA;LA VENTOSA; C/ DEL PILAR, 6;16843;969375723;;
 PUESTO DE LANDETE;CASTILLA LA MANCHA;CUENCA;LANDETE;C/ SANTA CRUZ N� 11;16330;969361002;;
 PUESTO DE LAS PEDRO�ERAS;CASTILLA LA MANCHA;CUENCA;LAS PEDRO�ERAS;C/CAMINO DE LA HITA N� 2;16660;967160016;;
 PUESTO DE MINGLANILLA;CASTILLA LA MANCHA;CUENCA;MINGLANILLA; C/ HOSPITAL, 41;16260;962187010;;
 PUESTO DE MIRA;CASTILLA LA MANCHA;CUENCA;MIRA; C / VALENCIA, 3;16393;969340005;;
 PUESTO DE MONTALBO;CASTILLA LA MANCHA;CUENCA;MONTALBO; CTRA. N-III KM. 116,4;16440;969130012;;
 PUESTO DE MOTA DEL CUERVO;CASTILLA LA MANCHA;CUENCA;MOTA DEL CUERVO; PZA. CONDE CAMPILLO, 1;16630;967182444;;
 PUESTO DE MOTILLA DEL PALANCAR;CASTILLA LA MANCHA;CUENCA;MOTILLA DEL PALANCAR; C/ MADRID, 15;16200;969331110;;
 PUESTO DE PRIEGO;CASTILLA LA MANCHA;CUENCA;PRIEGO; AVDA. LUIS OCA�A,  N� 30;16800;969312122;;
 PUESTO DE QUINTANAR DEL REY;CASTILLA LA MANCHA;CUENCA;QUINTANAR DEL REY; CTRA. DE VILLAGARCIA DEL LLANO, S/N;16220;967496620;;
 PUESTO DE SAELICES;CASTILLA LA MANCHA;CUENCA;SAELICES; AVDA. MADRID-VALENCIA, 41;16430;969134414;;
